"nodo1","nodo2","nodo1_nombre","nodo2_nombre","peso_arista","peso_nodo1","peso_nodo2","nodo1_afinidad","nodo2_afinidad","nodo1_dos_digitos","nodo2_dos_digitos","nodo1_dos_digitos_nombre","nodo2_dos_digitos_nombre"
112512,611172,"Piscicultura y otra acuicultura, excepto camaronicultura","Escuelas del sector público que combinan diversos niveles de educación",0.542857142857143,761.5,729.5,0.456665823408028,0.449500383192191,11,61,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios educativos"
114119,313210,"Pesca y captura de peces, crustáceos, moluscos y otras especies","Fabricación de telas anchas de tejido de trama",0.333333333333333,911,1401,0.380121634640538,0.490532328273241,11,31,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115113,311511,"Beneficio de productos agrícolas","Elaboración de leche líquida",0.5,13,178,0.343427694272452,0.335154008109252,11,31,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,325211,"Otros servicios relacionados con la agricultura","Fabricación de resinas sintéticas",0.5,5,292.5,0.304274409140293,0.387494196894203,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115119,332510,"Otros servicios relacionados con la agricultura","Fabricación de herrajes y cerraduras",0.5,5,56,0.304274409140293,0.265655029010612,11,33,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115210,327123,"Servicios relacionados con la cría y explotación de animales","Fabricación de productos refractarios",0.5,5,75.5,0.28204870053168,0.413171732514248,11,32,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Industrias manufactureras"
115210,721210,"Servicios relacionados con la cría y explotación de animales","Campamentos y albergues recreativos",0.5,5,2.5,0.28204870053168,0.351500637214463,11,72,"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza","Servicios de alojamiento temporal y de preparación de alimentos y bebidas"
212222,532121,"Minería de plata","Alquiler de camiones de carga sin chofer",0.5,291.5,5,0.399890191505373,0.288299462188598,21,53,"Minería","Servicios inmobiliarios y de alquiler de bienes muebles e intangibles   "
212222,541850,"Minería de plata","Agencias de anuncios publicitarios",1,291.5,23.5,0.399890191505373,0.224843990289103,21,54,"Minería","Servicios profesionales, científicos y técnicos"
212232,212394,"Minería de plomo y zinc","Minería de roca fosfórica",1,469.5,75.5,0.412301827739241,0.544682699592288,21,21,"Minería","Minería"
212232,325520,"Minería de plomo y zinc","Fabricación de adhesivos",0.5,469.5,375,0.412301827739241,0.359694504097517,21,32,"Minería","Industrias manufactureras"
212232,511142,"Minería de plomo y zinc","Edición de directorios y de listas de correo integrada con la impresión",1,469.5,2.5,0.412301827739241,0.378221616382294,21,51,"Minería","Información en medios masivos"
212291,432130,"Minería de manganeso","Comercio al por mayor de calzado",0.2,326.5,115.5,0.535125877554423,0.250454413773933,21,43,"Minería","Comercio al por mayor"
212311,811312,"Minería de piedra caliza","Reparación y mantenimiento de maquinaria y equipo industrial",0.444444444444444,639.5,1655,0.40230716065798,0.309733570337387,21,81,"Minería","Otros servicios excepto actividades gubernamentales"
212312,532121,"Minería de mármol","Alquiler de camiones de carga sin chofer",0.5,2.5,5,0.3232544123394,0.288299462188598,21,53,"Minería","Servicios inmobiliarios y de alquiler de bienes muebles e intangibles   "
212319,541620,"Minería de otras piedras dimensionadas","Servicios de consultoría en medio ambiente",0.571428571428571,216,38,0.45598956730221,0.265968483724621,21,54,"Minería","Servicios profesionales, científicos y técnicos"
212321,611142,"Minería de arena y grava para la construcción","Escuelas de educación secundaria técnica del sector público",0.44,400.5,2486.5,0.403960910547276,0.388366589193088,21,61,"Minería","Servicios educativos"
212321,621311,"Minería de arena y grava para la construcción","Consultorios de quiropráctica del sector privado",0.434782608695652,400.5,255,0.403960910547276,0.508689046771026,21,62,"Minería","Servicios de salud y de asistencia social"
212322,461220,"Minería de tezontle y tepetate","Comercio al por menor de cigarros, puros y tabaco",0.666666666666667,21,12.5,0.513430536541304,0.284416227721353,21,46,"Minería","Comercio al por menor"
212322,621512,"Minería de tezontle y tepetate","Laboratorios médicos y de diagnóstico del sector público",0.666666666666667,21,25.5,0.513430536541304,0.372004046212921,21,62,"Minería","Servicios de salud y de asistencia social"
212322,713941,"Minería de tezontle y tepetate","Clubes deportivos del sector privado",0.666666666666667,21,453.5,0.513430536541304,0.281765551859721,21,71,"Minería","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
212322,813130,"Minería de tezontle y tepetate","Asociaciones y organizaciones de profesionistas",0.666666666666667,21,48.5,0.513430536541304,0.251127350394317,21,81,"Minería","Otros servicios excepto actividades gubernamentales"
212324,314993,"Minería de sílice","Fabricación de productos textiles reciclados",1,8,23,0.285097708871671,0.396692900226402,21,31,"Minería","Industrias manufactureras"
212324,334410,"Minería de sílice","Fabricación de componentes electrónicos",0.5,8,61,0.285097708871671,0.245432257343055,21,33,"Minería","Industrias manufactureras"
212325,484121,"Minería de caolín","Autotransporte foráneo de productos agrícolas sin refrigeración",0.666666666666667,62.5,127,0.396512573109689,0.253558165646139,21,48,"Minería","Transportes, correos y almacenamiento"
212329,324110,"Minería de otras arcillas y de otros minerales refractarios","Refinación de petróleo",1,43,251,0.541093591767052,0.339748294645551,21,32,"Minería","Industrias manufactureras"
212329,325991,"Minería de otras arcillas y de otros minerales refractarios","Fabricación de cerillos",1,43,251,0.541093591767052,0.48011006820551,21,32,"Minería","Industrias manufactureras"
212329,326211,"Minería de otras arcillas y de otros minerales refractarios","Fabricación de llantas y cámaras",0.5,43,28.5,0.541093591767052,0.307118488342164,21,32,"Minería","Industrias manufactureras"
212392,512250,"Minería de piedra de yeso","Productoras y distribuidoras discográficas",0.5,78,2.5,0.38460362797534,0.173560621126913,21,51,"Minería","Información en medios masivos"
212392,562911,"Minería de piedra de yeso","Servicios de remediación de residuos por el sector privado",0.5,78,8,0.38460362797534,0.248959386573255,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
212394,212399,"Minería de roca fosfórica","Minería de otros minerales no metálicos",0.5,75.5,124,0.544682699592288,0.346368362914222,21,21,"Minería","Minería"
212394,511142,"Minería de roca fosfórica","Edición de directorios y de listas de correo integrada con la impresión",1,75.5,2.5,0.544682699592288,0.378221616382294,21,51,"Minería","Información en medios masivos"
213111,221122,"Perforación de pozos petroleros y de gas","Distribución de energía eléctrica",1,8,20.5,0.277343976960581,0.361486385063963,21,22,"Minería","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final"
213111,237122,"Perforación de pozos petroleros y de gas","Construcción de plantas de refinería y petroquímica",1,8,271.5,0.277343976960581,0.38837772102834,21,23,"Minería","Construcción"
213111,326212,"Perforación de pozos petroleros y de gas","Revitalización de llantas",1,8,20.5,0.277343976960581,0.329289075943315,21,32,"Minería","Industrias manufactureras"
213111,333120,"Perforación de pozos petroleros y de gas","Fabricación de maquinaria y equipo para la construcción",1,8,2.5,0.277343976960581,0.278290742876568,21,33,"Minería","Industrias manufactureras"
213111,482110,"Perforación de pozos petroleros y de gas","Transporte por ferrocarril",1,8,40.5,0.277343976960581,0.330787074281502,21,48,"Minería","Transportes, correos y almacenamiento"
213111,511210,"Perforación de pozos petroleros y de gas","Edición de software y edición de software integrada con la reproducción",1,8,2.5,0.277343976960581,0.241326616932182,21,51,"Minería","Información en medios masivos"
213111,561310,"Perforación de pozos petroleros y de gas","Agencias de colocación",1,8,219.5,0.277343976960581,0.256789799300696,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
213111,561450,"Perforación de pozos petroleros y de gas","Despachos de investigación de solvencia financiera",1,8,2.5,0.277343976960581,0.173560621126913,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
213111,561730,"Perforación de pozos petroleros y de gas","Servicios de instalación y mantenimiento de áreas verdes",1,8,10.5,0.277343976960581,0.257451003463168,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
213111,562911,"Perforación de pozos petroleros y de gas","Servicios de remediación de residuos por el sector privado",1,8,8,0.277343976960581,0.248959386573255,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
213119,327410,"Otros servicios relacionados con la minería","Fabricación de cal",0.5,20.5,447,0.306147305431539,0.363438749404899,21,32,"Minería","Industrias manufactureras"
213119,488210,"Otros servicios relacionados con la minería","Servicios relacionados con el transporte por ferrocarril",1,20.5,78,0.306147305431539,0.313349952526494,21,48,"Minería","Transportes, correos y almacenamiento"
213119,562211,"Otros servicios relacionados con la minería","Tratamiento y disposición final de residuos peligrosos por el sector privado",1,20.5,8,0.306147305431539,0.297121905424514,21,56,"Minería","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
221111,221123,"Generación de electricidad a partir de combustibles fósiles","Comercialización de energía eléctrica",0.444444444444444,520.5,243.5,0.358530488364745,0.439358996815487,22,22,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final"
221121,611152,"Transmisión de energía eléctrica","Escuelas de educación media técnica terminal del sector público",0.5,43,16,0.340781192838646,0.404719900654844,22,61,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios educativos"
221121,711111,"Transmisión de energía eléctrica","Compañías de teatro del sector privado",1,43,10.5,0.340781192838646,0.268507783771308,22,71,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
221122,237122,"Distribución de energía eléctrica","Construcción de plantas de refinería y petroquímica",1,20.5,271.5,0.361486385063963,0.38837772102834,22,23,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Construcción"
221122,326212,"Distribución de energía eléctrica","Revitalización de llantas",1,20.5,20.5,0.361486385063963,0.329289075943315,22,32,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Industrias manufactureras"
221122,333120,"Distribución de energía eléctrica","Fabricación de maquinaria y equipo para la construcción",1,20.5,2.5,0.361486385063963,0.278290742876568,22,33,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Industrias manufactureras"
221122,482110,"Distribución de energía eléctrica","Transporte por ferrocarril",1,20.5,40.5,0.361486385063963,0.330787074281502,22,48,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Transportes, correos y almacenamiento"
221122,511210,"Distribución de energía eléctrica","Edición de software y edición de software integrada con la reproducción",1,20.5,2.5,0.361486385063963,0.241326616932182,22,51,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Información en medios masivos"
221122,561310,"Distribución de energía eléctrica","Agencias de colocación",1,20.5,219.5,0.361486385063963,0.256789799300696,22,56,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
221122,561450,"Distribución de energía eléctrica","Despachos de investigación de solvencia financiera",1,20.5,2.5,0.361486385063963,0.173560621126913,22,56,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
221122,561730,"Distribución de energía eléctrica","Servicios de instalación y mantenimiento de áreas verdes",1,20.5,10.5,0.361486385063963,0.257451003463168,22,56,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
221122,562911,"Distribución de energía eléctrica","Servicios de remediación de residuos por el sector privado",1,20.5,8,0.361486385063963,0.248959386573255,22,56,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
221123,311110,"Comercialización de energía eléctrica","Elaboración de alimentos para animales",0.428571428571429,243.5,366,0.439358996815487,0.302696647273318,22,31,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Industrias manufactureras"
221123,435210,"Comercialización de energía eléctrica","Comercio al por mayor de maquinaria y equipo para la construcción y la minería",0.571428571428571,243.5,496,0.439358996815487,0.356556614609364,22,43,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Comercio al por mayor"
221311,812321,"Captación, tratamiento y suministro de agua realizados por el sector privado","Administración de cementerios pertenecientes al sector privado",0.5,59,33.5,0.330197061287416,0.285103486638388,22,81,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Otros servicios excepto actividades gubernamentales"
221312,812322,"Captación, tratamiento y suministro de agua realizados por el sector público","Administración de cementerios pertenecientes al sector público",0.677966101694915,3483.5,527.5,0.456306170846926,0.517119741183801,22,81,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Otros servicios excepto actividades gubernamentales"
221312,931210,"Captación, tratamiento y suministro de agua realizados por el sector público","Administración pública en general",0.703703703703704,3483.5,23386,0.456306170846926,0.473631641118658,22,93,"Generación, transmisión, distribución y comercialización de energía eléctrica, suministro de agua y de gas natural por ductos al consumidor final","Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales"
236111,237111,"Edificación de vivienda unifamiliar","Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje",0.5,2432.5,291,0.32433629128251,0.350164551030567,23,23,"Construcción","Construcción"
236111,541620,"Edificación de vivienda unifamiliar","Servicios de consultoría en medio ambiente",0.5,2432.5,38,0.32433629128251,0.265968483724621,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
236112,531210,"Edificación de vivienda multifamiliar","Inmobiliarias y corredores de bienes raíces",0.571428571428571,594,907,0.317325556541536,0.26056771864639,23,53,"Construcción","Servicios inmobiliarios y de alquiler de bienes muebles e intangibles   "
236112,722516,"Edificación de vivienda multifamiliar","Restaurantes de autoservicio",0.666666666666667,594,1160,0.317325556541536,0.283859783645702,23,72,"Construcción","Servicios de alojamiento temporal y de preparación de alimentos y bebidas"
236113,237211,"Supervisión de edificación residencial","División de terrenos",0.666666666666667,13,5,0.255438725287461,0.289696473175948,23,23,"Construcción","Construcción"
236113,332211,"Supervisión de edificación residencial","Fabricación de herramientas de mano metálicas sin motor",0.666666666666667,13,13,0.255438725287461,0.311664170636585,23,33,"Construcción","Industrias manufactureras"
236113,333243,"Supervisión de edificación residencial","Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas",0.666666666666667,13,15.5,0.255438725287461,0.307671240320972,23,33,"Construcción","Industrias manufactureras"
236113,336310,"Supervisión de edificación residencial","Fabricación de motores de gasolina y sus partes para vehículos automotrices",0.666666666666667,13,18.5,0.255438725287461,0.331664933502837,23,33,"Construcción","Industrias manufactureras"
236113,433210,"Supervisión de edificación residencial","Comercio al por mayor de artículos de perfumería y cosméticos",0.6,13,43.5,0.255438725287461,0.210716202704797,23,43,"Construcción","Comercio al por mayor"
236113,488990,"Supervisión de edificación residencial","Otros servicios relacionados con el transporte",0.666666666666667,13,10.5,0.255438725287461,0.314126280471031,23,48,"Construcción","Transportes, correos y almacenamiento"
236113,523910,"Supervisión de edificación residencial","Asesoría en inversiones",0.666666666666667,13,7.5,0.255438725287461,0.211581065017469,23,52,"Construcción","Servicios financieros y de seguros"
236113,541320,"Supervisión de edificación residencial","Servicios de arquitectura de paisaje y urbanismo",0.666666666666667,13,15.5,0.255438725287461,0.298358000064165,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
236113,541350,"Supervisión de edificación residencial","Servicios de inspección de edificios",0.666666666666667,13,7.5,0.255438725287461,0.302146283796387,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
236113,561520,"Supervisión de edificación residencial","Organización de excursiones y paquetes turísticos para agencias de viajes",0.666666666666667,13,25.5,0.255438725287461,0.253829352752149,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
236113,562998,"Supervisión de edificación residencial","Otros servicios de manejo de residuos por el sector privado",0.666666666666667,13,21,0.255438725287461,0.321023143535653,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
236113,813130,"Supervisión de edificación residencial","Asociaciones y organizaciones de profesionistas",0.666666666666667,13,48.5,0.255438725287461,0.251127350394317,23,81,"Construcción","Otros servicios excepto actividades gubernamentales"
236211,237993,"Edificación de naves y plantas industriales, excepto la supervisión","Construcción de obras para transporte eléctrico y ferroviario",0.666666666666667,620,81.5,0.286366693380216,0.270969652877087,23,23,"Construcción","Construcción"
236211,238330,"Edificación de naves y plantas industriales, excepto la supervisión","Colocación de pisos flexibles y de madera",0.666666666666667,620,15,0.286366693380216,0.364098467931852,23,23,"Construcción","Construcción"
236211,485320,"Edificación de naves y plantas industriales, excepto la supervisión","Alquiler de automóviles con chofer",0.666666666666667,620,7.5,0.286366693380216,0.280597012852975,23,48,"Construcción","Transportes, correos y almacenamiento"
236211,485410,"Edificación de naves y plantas industriales, excepto la supervisión","Transporte escolar y de personal",0.666666666666667,620,25.5,0.286366693380216,0.303364522226065,23,48,"Construcción","Transportes, correos y almacenamiento"
236211,524130,"Edificación de naves y plantas industriales, excepto la supervisión","Compañías afianzadoras",0.666666666666667,620,5,0.286366693380216,0.211584452591907,23,52,"Construcción","Servicios financieros y de seguros"
236211,532110,"Edificación de naves y plantas industriales, excepto la supervisión","Alquiler de automóviles sin chofer",0.666666666666667,620,44,0.286366693380216,0.259143422043711,23,53,"Construcción","Servicios inmobiliarios y de alquiler de bienes muebles e intangibles   "
236211,541840,"Edificación de naves y plantas industriales, excepto la supervisión","Agencias de representación de medios",0.666666666666667,620,31,0.286366693380216,0.237559924349406,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
236211,541990,"Edificación de naves y plantas industriales, excepto la supervisión","Otros servicios profesionales, científicos y técnicos",0.666666666666667,620,15.5,0.286366693380216,0.282989558954289,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
236211,562998,"Edificación de naves y plantas industriales, excepto la supervisión","Otros servicios de manejo de residuos por el sector privado",0.666666666666667,620,21,0.286366693380216,0.321023143535653,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
236211,621512,"Edificación de naves y plantas industriales, excepto la supervisión","Laboratorios médicos y de diagnóstico del sector público",0.666666666666667,620,25.5,0.286366693380216,0.372004046212921,23,62,"Construcción","Servicios de salud y de asistencia social"
236211,713941,"Edificación de naves y plantas industriales, excepto la supervisión","Clubes deportivos del sector privado",0.666666666666667,620,453.5,0.286366693380216,0.281765551859721,23,71,"Construcción","Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos"
236221,517312,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión","Operadores de servicios de telecomunicaciones inalámbricas",0.6,1506.5,289,0.317311937064039,0.294757351346377,23,51,"Construcción","Información en medios masivos"
237111,238910,"Construcción de obras para el tratamiento, distribución y suministro de agua y drenaje","Preparación de terrenos para la construcción",0.666666666666667,291,89.5,0.350164551030567,0.298897265167011,23,23,"Construcción","Construcción"
237112,238110,"Construcción de sistemas de riego agrícola","Trabajos de cimentaciones",0.666666666666667,298,18.5,0.406429972077843,0.311098239484698,23,23,"Construcción","Construcción"
237112,433313,"Construcción de sistemas de riego agrícola","Comercio al por mayor de artículos y aparatos deportivos",0.666666666666667,298,203.5,0.406429972077843,0.332410885497948,23,43,"Construcción","Comercio al por mayor"
237121,327410,"Construcción de sistemas de distribución de petróleo y gas","Fabricación de cal",0.5,98.5,447,0.289711947695826,0.363438749404899,23,32,"Construcción","Industrias manufactureras"
237121,562911,"Construcción de sistemas de distribución de petróleo y gas","Servicios de remediación de residuos por el sector privado",0.5,98.5,8,0.289711947695826,0.248959386573255,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237122,326212,"Construcción de plantas de refinería y petroquímica","Revitalización de llantas",1,271.5,20.5,0.38837772102834,0.329289075943315,23,32,"Construcción","Industrias manufactureras"
237122,333120,"Construcción de plantas de refinería y petroquímica","Fabricación de maquinaria y equipo para la construcción",1,271.5,2.5,0.38837772102834,0.278290742876568,23,33,"Construcción","Industrias manufactureras"
237122,482110,"Construcción de plantas de refinería y petroquímica","Transporte por ferrocarril",1,271.5,40.5,0.38837772102834,0.330787074281502,23,48,"Construcción","Transportes, correos y almacenamiento"
237122,511210,"Construcción de plantas de refinería y petroquímica","Edición de software y edición de software integrada con la reproducción",1,271.5,2.5,0.38837772102834,0.241326616932182,23,51,"Construcción","Información en medios masivos"
237122,561310,"Construcción de plantas de refinería y petroquímica","Agencias de colocación",1,271.5,219.5,0.38837772102834,0.256789799300696,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237122,561450,"Construcción de plantas de refinería y petroquímica","Despachos de investigación de solvencia financiera",1,271.5,2.5,0.38837772102834,0.173560621126913,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237122,561730,"Construcción de plantas de refinería y petroquímica","Servicios de instalación y mantenimiento de áreas verdes",1,271.5,10.5,0.38837772102834,0.257451003463168,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237122,562911,"Construcción de plantas de refinería y petroquímica","Servicios de remediación de residuos por el sector privado",1,271.5,8,0.38837772102834,0.248959386573255,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237131,321991,"Construcción de obras de generación y conducción de energía eléctrica","Fabricación de productos de materiales trenzables, excepto palma",0.5,135,56,0.322745871350201,0.382866298744403,23,32,"Construcción","Industrias manufactureras"
237131,435210,"Construcción de obras de generación y conducción de energía eléctrica","Comercio al por mayor de maquinaria y equipo para la construcción y la minería",0.5,135,496,0.322745871350201,0.356556614609364,23,43,"Construcción","Comercio al por mayor"
237131,522390,"Construcción de obras de generación y conducción de energía eléctrica","Otras instituciones de ahorro y préstamo",0.666666666666667,135,56,0.322745871350201,0.307706405069786,23,52,"Construcción","Servicios financieros y de seguros"
237132,325180,"Construcción de obras para telecomunicaciones","Fabricación de otros productos químicos básicos inorgánicos",1,20.5,204,0.265059442184636,0.38257228012093,23,32,"Construcción","Industrias manufactureras"
237132,325190,"Construcción de obras para telecomunicaciones","Fabricación de otros productos químicos básicos orgánicos",1,20.5,136.5,0.265059442184636,0.343836541957507,23,32,"Construcción","Industrias manufactureras"
237132,325310,"Construcción de obras para telecomunicaciones","Fabricación de fertilizantes",1,20.5,259,0.265059442184636,0.358960683773412,23,32,"Construcción","Industrias manufactureras"
237132,325411,"Construcción de obras para telecomunicaciones","Fabricación de materias primas para la industria farmacéutica",1,20.5,2.5,0.265059442184636,0.336484443896788,23,32,"Construcción","Industrias manufactureras"
237132,326150,"Construcción de obras para telecomunicaciones","Fabricación de espumas y productos de uretano",1,20.5,2.5,0.265059442184636,0.282312867145702,23,32,"Construcción","Industrias manufactureras"
237132,327391,"Construcción de obras para telecomunicaciones","Fabricación de productos preesforzados de concreto",1,20.5,339.5,0.265059442184636,0.417856399907301,23,32,"Construcción","Industrias manufactureras"
237132,331420,"Construcción de obras para telecomunicaciones","Laminación secundaria de cobre",1,20.5,2.5,0.265059442184636,0.247854362260475,23,33,"Construcción","Industrias manufactureras"
237132,332910,"Construcción de obras para telecomunicaciones","Fabricación de válvulas metálicas",1,20.5,2.5,0.265059442184636,0.245071811832101,23,33,"Construcción","Industrias manufactureras"
237132,333130,"Construcción de obras para telecomunicaciones","Fabricación de maquinaria y equipo para la industria extractiva",1,20.5,83.5,0.265059442184636,0.297839346055915,23,33,"Construcción","Industrias manufactureras"
237132,333910,"Construcción de obras para telecomunicaciones","Fabricación de bombas y sistemas de bombeo",1,20.5,224.5,0.265059442184636,0.354607549116977,23,33,"Construcción","Industrias manufactureras"
237132,339914,"Construcción de obras para telecomunicaciones","Metalistería de metales no preciosos",1,20.5,13,0.265059442184636,0.281576131498515,23,33,"Construcción","Industrias manufactureras"
237132,561790,"Construcción de obras para telecomunicaciones","Otros servicios de limpieza",1,20.5,2.5,0.265059442184636,0.31762671460614,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237211,332211,"División de terrenos","Fabricación de herramientas de mano metálicas sin motor",0.666666666666667,5,13,0.289696473175948,0.311664170636585,23,33,"Construcción","Industrias manufactureras"
237211,333243,"División de terrenos","Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas",0.666666666666667,5,15.5,0.289696473175948,0.307671240320972,23,33,"Construcción","Industrias manufactureras"
237211,488990,"División de terrenos","Otros servicios relacionados con el transporte",1,5,10.5,0.289696473175948,0.314126280471031,23,48,"Construcción","Transportes, correos y almacenamiento"
237211,541320,"División de terrenos","Servicios de arquitectura de paisaje y urbanismo",1,5,15.5,0.289696473175948,0.298358000064165,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
237211,541350,"División de terrenos","Servicios de inspección de edificios",1,5,7.5,0.289696473175948,0.302146283796387,23,54,"Construcción","Servicios profesionales, científicos y técnicos"
237211,561520,"División de terrenos","Organización de excursiones y paquetes turísticos para agencias de viajes",1,5,25.5,0.289696473175948,0.253829352752149,23,56,"Construcción","Servicios de apoyo a los negocios y manejo de residuos, y servicios de remediación"
237211,813130,"División de terrenos","Asociaciones y organizaciones de profesionistas",0.666666666666667,5,48.5,0.289696473175948,0.251127350394317,23,81,"Construcción","Otros servicios excepto actividades gubernamentales"
237212,238221,"Construcción de obras de urbanización","Instalaciones hidrosanitarias y de gas",0.625,1349,40,0.37911623987225,0.259689159237406,23,23,"Construcción","Construcción"
237311,237999,"Instalación de señalamientos y protecciones en obras viales","Otras construcciones de ingeniería civil",1,8,20.5,0.313422418539241,0.344880337547206,23,23,"Construcción","Construcción"
237311,238121,"Instalación de señalamientos y protecciones en obras viales","Montaje de estructuras de concreto prefabricadas",1,8,2.5,0.313422418539241,0.284471073597236,23,23,"Construcción","Construcción"
237311,311991,"Instalación de señalamientos y protecciones en obras viales","Elaboración de gelatinas y otros postres en polvo",1,8,2.5,0.313422418539241,0.341072782982737,23,31,"Construcción","Industrias manufactureras"
237311,316211,"Instalación de señalamientos y protecciones en obras viales","Fabricación de calzado con corte de piel y cuero",1,8,654.5,0.313422418539241,0.264490979833828,23,31,"Construcción","Industrias manufactureras"
237311,326130,"Instalación de señalamientos y protecciones en obras viales","Fabricación de laminados de plástico rígido",1,8,8,0.313422418539241,0.287504831670033,23,32,"Construcción","Industrias manufactureras"
237311,326198,"Instalación de señalamientos y protecciones en obras viales","Fabricación de otros productos de plástico con reforzamiento",1,8,2.5,0.313422418539241,0.251504423437764,23,32,"Construcción","Industrias manufactureras"
237311,332991,"Instalación de señalamientos y protecciones en obras viales","Fabricación de baleros y rodamientos",1,8,2.5,0.313422418539241,0.270138056338079,23,33,"Construcción","Industrias manufactureras"
237311,431123,"Instalación de señalamientos y protecciones en obras viales","Comercio al por mayor de pescados y mariscos",1,8,2.5,0.313422418539241,0.287804461819441,23,43,"Construcción","Comercio al por mayor"
237311,431212,"Instalación de señalamientos y protecciones en obras viales","Comercio al por mayor de vinos y licores",1,8,31,0.313422418539241,0.240854851773343,23,43,"Construcción","Comercio al por mayor"
